date,spread_d10_d1,n_assets,deciles_present
1993-02-01,0.09785219293371553,657,10
1993-03-01,0.024678868127931408,665,10
1993-04-01,0.014417628413495115,670,10
1993-05-01,0.05384400200232701,677,10
1993-06-01,0.05786861587024379,681,10
1993-07-01,0.051041357703537446,682,10
1993-08-01,0.07896011150230704,687,10
1993-09-01,-0.0324131250687012,690,10
1993-10-01,-0.024928602452518444,697,10
1993-11-01,0.07548014415415369,710,10
1993-12-01,0.03369316416959176,717,10
1994-01-01,0.005760794362263441,718,10
1994-02-01,0.03036118517559709,723,10
1994-03-01,0.030724338756766282,730,10
1994-04-01,0.010993532952754221,738,10
1994-05-01,0.029269139966294388,745,10
1994-06-01,0.03875823903128977,749,10
1994-07-01,-0.021530963197948207,752,10
1994-08-01,0.04145323595394893,753,10
1994-09-01,0.08046957269784907,756,10
1994-10-01,-0.009321475916121563,766,10
1994-11-01,0.04049536828799307,771,10
1994-12-01,-0.006793968896466898,775,10
1995-01-01,0.008482891392024591,779,10
1995-02-01,0.035961199940723554,781,10
1995-03-01,0.05768217421035227,784,10
1995-04-01,0.0029063777775257607,787,10
1995-05-01,0.0832932301182535,789,10
1995-06-01,0.04888418594660217,793,10
1995-07-01,0.045458662030035596,796,10
1995-08-01,0.04445941392661683,800,10
1995-09-01,0.03181499234292956,803,10
1995-10-01,-0.025674119101507117,810,10
1995-11-01,0.03933452581633075,820,10
1995-12-01,-0.016673604533774096,824,10
1996-01-01,-0.022772113756165197,829,10
1996-02-01,-0.003528744245565603,834,10
1996-03-01,0.006386372444641054,843,10
1996-04-01,0.010012880183497663,844,10
1996-05-01,0.02980423444840962,848,10
1996-06-01,0.006713826549551265,855,10
1996-07-01,0.006746159970433353,858,10
1996-08-01,-0.014671274808515877,862,10
1996-09-01,0.05315659317727087,863,10
1996-10-01,-0.020123923080461924,866,10
1996-11-01,0.07536032597880499,880,10
1996-12-01,0.016977555599762363,885,10
1997-01-01,-0.016393836622743903,890,10
1997-02-01,0.03437540647371475,895,10
1997-03-01,0.026707779510487882,897,10
1997-04-01,-0.0400139325291895,899,10
1997-05-01,0.08060056198389692,905,10
1997-06-01,0.09311017975233102,910,10
1997-07-01,-0.005605499813357437,914,10
1997-08-01,0.008588529484954307,918,10
1997-09-01,-0.017474977210399863,920,10
1997-10-01,0.07283978073373612,930,10
1997-11-01,0.06414056458744188,937,10
1997-12-01,-0.010814644012168473,940,10
1998-01-01,-0.002974406277842295,948,10
1998-02-01,0.036631777548393696,951,10
1998-03-01,0.005336408442521499,956,10
1998-04-01,0.04046824571989129,959,10
1998-05-01,0.10637681235137289,966,10
1998-06-01,0.02296184671014067,973,10
1998-07-01,0.05730290797979006,978,10
1998-08-01,0.01116734099564552,980,10
1998-09-01,-0.07635593071935812,982,10
1998-10-01,0.021728570005618446,984,10
1998-11-01,0.1036966834180032,988,10
1998-12-01,0.05547472371628064,992,10
1999-01-01,-0.03461882716337407,996,10
1999-02-01,0.06053211852972073,999,10
1999-03-01,-0.1262027569860203,1005,10
1999-04-01,-0.012775955814534931,1010,10
1999-05-01,0.10276104198919832,1014,10
1999-06-01,0.003664807669997794,1017,10
1999-07-01,0.0447265484885149,1022,10
1999-08-01,0.016047919068462743,1025,10
1999-09-01,0.11732868343082645,1029,10
1999-10-01,0.11809883443463134,1034,10
1999-11-01,0.1558446938229101,1040,10
1999-12-01,0.11294394025114156,1041,10
2000-01-01,0.3650625579721354,1042,10
2000-02-01,-0.24762397215791565,1043,10
2000-03-01,-0.028819164584510656,1047,10
2000-04-01,-0.02237138848898301,1050,10
2000-05-01,0.16059196128344816,1061,10
2000-06-01,-0.06886945829155446,1070,10
2000-07-01,0.12337761288265872,1086,10
2000-08-01,-0.012025023532352574,1090,10
2000-09-01,-0.04968535518945881,1094,10
2000-10-01,-0.1667977306828835,1098,10
2000-11-01,0.07111332332251492,1098,10
2000-12-01,-0.21386024910816978,1100,10
2001-01-01,0.10328757919085453,1102,10
2001-02-01,-0.01618985186052376,1106,10
2001-03-01,-0.011817232396071992,1106,10
2001-04-01,0.06332100832222474,1108,10
2001-05-01,0.05577555722997504,1109,10
2001-06-01,0.034134673707230896,1117,10
2001-07-01,0.02658382745926103,1122,10
2001-08-01,0.057094938727730214,1129,10
2001-09-01,0.031395649137064364,1129,10
2001-10-01,-0.11169579620138187,1134,10
2001-11-01,0.009205696243405705,1137,10
2001-12-01,0.05772434867489319,1141,10
2002-01-01,0.0020553817861121947,1142,10
2002-02-01,-0.0026019077352462602,1145,10
2002-03-01,0.07347364384750844,1148,10
2002-04-01,0.05243053409561427,1151,10
2002-05-01,0.06201397926951754,1154,10
2002-06-01,-0.03119861205771066,1156,10
2002-07-01,0.028240150632941857,1164,10
2002-08-01,0.1139165085995022,1167,10
2002-09-01,0.007707877884339662,1168,10
2002-10-01,-0.07644191684018284,1172,10
2002-11-01,0.12009144615775807,1173,10
2002-12-01,-0.0030960032571894607,1177,10
2003-01-01,-0.014278090452789927,1179,10
2003-02-01,0.020291023694995587,1180,10
2003-03-01,-0.024430700031231406,1180,10
2003-04-01,-0.027764104342472604,1182,10
2003-05-01,0.01783375301286977,1184,10
2003-06-01,0.025213961148969073,1185,10
2003-07-01,0.06814532208874523,1192,10
2003-08-01,0.011001385521352349,1193,10
2003-09-01,0.12854117211215818,1196,10
2003-10-01,0.059257565719055424,1203,10
2003-11-01,0.007052765037277947,1207,10
2003-12-01,0.0854057211851231,1213,10
2004-01-01,-0.018612359535388714,1215,10
2004-02-01,0.022209595284285077,1220,10
2004-03-01,-0.045842224202504604,1223,10
2004-04-01,0.03619261716160035,1229,10
2004-05-01,0.07231107249709448,1231,10
2004-06-01,-0.029916207431691558,1237,10
2004-07-01,0.0005976026255160509,1242,10
2004-08-01,0.05973375432470551,1249,10
2004-09-01,0.005327805426195896,1250,10
2004-10-01,0.222203748563111,1258,10
2004-11-01,0.035368722190532116,1262,10
