asset_id,file,rows_daily,rows_monthly,date_min,date_max
A,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\A_combined.csv,6552,314,1999-11-18 00:00:00,2025-12-05 00:00:00
AA,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AA_combined.csv,14104,444,1970-01-02 00:00:00,2025-12-05 00:00:00
AAL,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AAL_combined.csv,5081,244,2005-09-27 00:00:00,2025-12-05 00:00:00
AAMI,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AAMI_combined.csv,2807,135,2014-10-09 00:00:00,2025-12-05 00:00:00
AAOI,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AAOI_combined.csv,3068,148,2013-09-26 00:00:00,2025-12-05 00:00:00
AAON,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AAON_combined.csv,8301,397,1992-12-16 00:00:00,2025-12-05 00:00:00
AAP,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AAP_combined.csv,6044,290,2001-11-29 00:00:00,2025-12-05 00:00:00
AAPG,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AAPG_combined.csv,219,12,2025-01-24 00:00:00,2025-12-05 00:00:00
AAPL,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AAPL_combined.csv,11338,444,1980-12-12 00:00:00,2025-12-05 00:00:00
AAT,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AAT_combined.csv,3747,180,2011-01-13 00:00:00,2025-12-05 00:00:00
AAUC,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AAUC_combined.csv,329,17,2024-08-15 00:00:00,2025-12-05 00:00:00
AB,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AB_combined.csv,9484,444,1988-04-14 00:00:00,2025-12-05 00:00:00
ABBV,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ABBV_combined.csv,3253,156,2013-01-02 00:00:00,2025-12-05 00:00:00
ABCB,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ABCB_combined.csv,7942,380,1994-05-19 00:00:00,2025-12-05 00:00:00
ABCL,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ABCL_combined.csv,1252,61,2020-12-11 00:00:00,2025-12-05 00:00:00
ABEV,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ABEV_combined.csv,7236,346,1997-03-05 00:00:00,2025-12-05 00:00:00
ABG,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ABG_combined.csv,5968,286,2002-03-21 00:00:00,2025-12-05 00:00:00
ABM,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ABM_combined.csv,11526,444,1980-03-17 00:00:00,2025-12-05 00:00:00
ABNB,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ABNB_combined.csv,1253,61,2020-12-10 00:00:00,2025-12-05 00:00:00
ABR,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ABR_combined.csv,5452,261,2004-04-07 00:00:00,2025-12-05 00:00:00
ABT,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ABT_combined.csv,11526,444,1980-03-17 00:00:00,2025-12-05 00:00:00
ABTC,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ABTC_combined.csv,1957,95,2018-02-26 00:00:00,2025-12-05 00:00:00
ABVX,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ABVX_combined.csv,534,27,2023-10-20 00:00:00,2025-12-05 00:00:00
ACA,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ACA_combined.csv,1781,86,2018-11-05 00:00:00,2025-12-05 00:00:00
ACAD,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ACAD_combined.csv,5417,260,2004-05-27 00:00:00,2025-12-05 00:00:00
ACGL,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ACGL_combined.csv,7608,364,1995-09-14 00:00:00,2025-12-05 00:00:00
ACHC,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ACHC_combined.csv,7994,382,1994-03-04 00:00:00,2025-12-05 00:00:00
ACHR,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ACHR_combined.csv,1247,61,2020-12-18 00:00:00,2025-12-05 00:00:00
ACI,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ACI_combined.csv,1369,67,2020-06-26 00:00:00,2025-12-05 00:00:00
ACIW,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ACIW_combined.csv,7748,371,1995-02-24 00:00:00,2025-12-05 00:00:00
ACLS,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ACLS_combined.csv,6391,306,2000-07-11 00:00:00,2025-12-05 00:00:00
ACLX,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ACLX_combined.csv,963,47,2022-02-04 00:00:00,2025-12-05 00:00:00
ACM,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ACM_combined.csv,4675,224,2007-05-10 00:00:00,2025-12-05 00:00:00
ACMR,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ACMR_combined.csv,2034,98,2017-11-02 00:00:00,2025-12-05 00:00:00
ACN,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ACN_combined.csv,6133,294,2001-07-19 00:00:00,2025-12-05 00:00:00
ACT,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ACT_combined.csv,1061,52,2021-09-16 00:00:00,2025-12-05 00:00:00
ACVA,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ACVA_combined.csv,1183,58,2021-03-24 00:00:00,2025-12-05 00:00:00
ACWI,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ACWI_combined.csv,4453,214,2008-03-28 00:00:00,2025-12-05 00:00:00
AD,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AD_combined.csv,9470,444,1988-05-04 00:00:00,2025-12-05 00:00:00
ADBE,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ADBE_combined.csv,9906,444,1986-08-13 00:00:00,2025-12-05 00:00:00
ADC,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ADC_combined.csv,7965,381,1994-04-15 00:00:00,2025-12-05 00:00:00
ADEA,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ADEA_combined.csv,5551,266,2003-11-13 00:00:00,2025-12-05 00:00:00
ADI,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ADI_combined.csv,11526,444,1980-03-17 00:00:00,2025-12-05 00:00:00
ADM,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ADM_combined.csv,11526,444,1980-03-17 00:00:00,2025-12-05 00:00:00
ADMA,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ADMA_combined.csv,3053,147,2013-10-17 00:00:00,2025-12-05 00:00:00
ADNT,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ADNT_combined.csv,2298,111,2016-10-17 00:00:00,2025-12-05 00:00:00
ADP,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ADP_combined.csv,11526,444,1980-03-17 00:00:00,2025-12-05 00:00:00
ADPT,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ADPT_combined.csv,1621,79,2019-06-27 00:00:00,2025-12-05 00:00:00
ADSK,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ADSK_combined.csv,10189,444,1985-06-28 00:00:00,2025-12-05 00:00:00
ADT,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ADT_combined.csv,1982,96,2018-01-19 00:00:00,2025-12-05 00:00:00
ADUS,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ADUS_combined.csv,4052,195,2009-10-28 00:00:00,2025-12-05 00:00:00
ADX,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ADX_combined.csv,11526,444,1980-03-17 00:00:00,2025-12-05 00:00:00
AEE,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AEE_combined.csv,7026,336,1998-01-02 00:00:00,2025-12-05 00:00:00
AEG,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AEG_combined.csv,10189,444,1985-06-28 00:00:00,2025-12-05 00:00:00
AEIS,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AEIS_combined.csv,7562,362,1995-11-17 00:00:00,2025-12-05 00:00:00
AEM,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AEM_combined.csv,13312,444,1973-02-21 00:00:00,2025-12-05 00:00:00
AEO,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AEO_combined.csv,7966,381,1994-04-14 00:00:00,2025-12-05 00:00:00
AEP,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AEP_combined.csv,14104,444,1970-01-02 00:00:00,2025-12-05 00:00:00
AER,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AER_combined.csv,4790,230,2006-11-21 00:00:00,2025-12-05 00:00:00
AERO,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AERO_combined.csv,21,2,2025-11-06 00:00:00,2025-12-05 00:00:00
AES,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AES_combined.csv,8675,415,1991-06-26 00:00:00,2025-12-05 00:00:00
AESI,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AESI_combined.csv,690,34,2023-03-09 00:00:00,2025-12-05 00:00:00
AFG,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AFG_combined.csv,11526,444,1980-03-17 00:00:00,2025-12-05 00:00:00
AFL,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AFL_combined.csv,11526,444,1980-03-17 00:00:00,2025-12-05 00:00:00
AFRM,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AFRM_combined.csv,1231,60,2021-01-13 00:00:00,2025-12-05 00:00:00
AFYA,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AFYA_combined.csv,1606,78,2019-07-19 00:00:00,2025-12-05 00:00:00
AG,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AG_combined.csv,4786,230,2006-11-28 00:00:00,2025-12-05 00:00:00
AGCO,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AGCO_combined.csv,8470,405,1992-04-16 00:00:00,2025-12-05 00:00:00
AGG,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AGG_combined.csv,5584,268,2003-09-29 00:00:00,2025-12-05 00:00:00
AGI,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AGI_combined.csv,5687,272,2003-05-02 00:00:00,2025-12-05 00:00:00
AGIO,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AGIO_combined.csv,3113,150,2013-07-24 00:00:00,2025-12-05 00:00:00
AGM,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AGM_combined.csv,8009,383,1994-02-10 00:00:00,2025-12-05 00:00:00
AGNC,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AGNC_combined.csv,4419,212,2008-05-15 00:00:00,2025-12-05 00:00:00
AGO,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AGO_combined.csv,5441,261,2004-04-23 00:00:00,2025-12-05 00:00:00
AGX,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AGX_combined.csv,7626,365,1995-08-18 00:00:00,2025-12-05 00:00:00
AGYS,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AGYS_combined.csv,11526,444,1980-03-17 00:00:00,2025-12-05 00:00:00
AHCO,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AHCO_combined.csv,1891,92,2018-05-31 00:00:00,2025-12-05 00:00:00
AHL,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AHL_combined.csv,147,8,2025-05-08 00:00:00,2025-12-05 00:00:00
AHR,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AHR_combined.csv,460,23,2024-02-07 00:00:00,2025-12-05 00:00:00
AI,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AI_combined.csv,1254,61,2020-12-09 00:00:00,2025-12-05 00:00:00
AIG,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AIG_combined.csv,13346,444,1973-01-02 00:00:00,2025-12-05 00:00:00
AIN,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AIN_combined.csv,9620,444,1987-09-30 00:00:00,2025-12-05 00:00:00
AIR,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AIR_combined.csv,11526,444,1980-03-17 00:00:00,2025-12-05 00:00:00
AIT,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AIT_combined.csv,11526,444,1980-03-17 00:00:00,2025-12-05 00:00:00
