asset_id,file,error
A_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\A_combined.csv,MS is not supported as period frequency
AA_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AA_combined.csv,MS is not supported as period frequency
AAL_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AAL_combined.csv,MS is not supported as period frequency
AAMI_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AAMI_combined.csv,MS is not supported as period frequency
AAOI_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AAOI_combined.csv,MS is not supported as period frequency
AAON_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AAON_combined.csv,MS is not supported as period frequency
AAP_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AAP_combined.csv,MS is not supported as period frequency
AAPG_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AAPG_combined.csv,MS is not supported as period frequency
AAPL_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AAPL_combined.csv,MS is not supported as period frequency
AAT_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AAT_combined.csv,MS is not supported as period frequency
AAUC_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AAUC_combined.csv,MS is not supported as period frequency
AB_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AB_combined.csv,MS is not supported as period frequency
ABBV_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ABBV_combined.csv,MS is not supported as period frequency
ABCB_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ABCB_combined.csv,MS is not supported as period frequency
ABCL_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ABCL_combined.csv,MS is not supported as period frequency
ABEV_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ABEV_combined.csv,MS is not supported as period frequency
