decile,target_value_spread_fwd_1m,date
1,-0.02240288066189864,1993-02-01
2,0.008903696091826433,1993-02-01
3,-0.003897354314210338,1993-02-01
4,0.0331208338350643,1993-02-01
5,0.037289639354248345,1993-02-01
6,-0.02439112365633641,1993-02-01
7,0.00949689700377947,1993-02-01
8,-0.0003488485705173243,1993-02-01
9,0.03219388035321487,1993-02-01
10,0.07544931227181688,1993-02-01
1,-0.01343665271389509,1993-03-01
2,-0.01537707388997658,1993-03-01
3,0.01955066242027418,1993-03-01
4,0.0037377205842994833,1993-03-01
5,0.0011671053297678767,1993-03-01
6,0.016955784791633077,1993-03-01
7,-0.004272708310145978,1993-03-01
8,0.013572482024058282,1993-03-01
9,0.008912089416803465,1993-03-01
10,0.01124221541403632,1993-03-01
1,0.02462588144865352,1993-04-01
2,0.011827947820317191,1993-04-01
3,-0.0007115352118449328,1993-04-01
4,0.016156223383976837,1993-04-01
5,0.010978730560617989,1993-04-01
6,-0.00340365338684535,1993-04-01
7,0.005220503754140075,1993-04-01
8,0.004977041481995156,1993-04-01
9,0.042866341244338156,1993-04-01
10,0.039043509862148634,1993-04-01
1,0.004940624432336503,1993-05-01
2,-0.027097700260166915,1993-05-01
3,-0.01709955684531146,1993-05-01
4,-0.012518788158838863,1993-05-01
5,-0.004437804920778324,1993-05-01
6,0.01805524052011797,1993-05-01
7,-0.004421138402349962,1993-05-01
8,0.014628652828440225,1993-05-01
9,0.02666960942423509,1993-05-01
10,0.05878462643466351,1993-05-01
1,-0.0343327468074631,1993-06-01
2,0.002411496546285525,1993-06-01
3,0.0012923804741377008,1993-06-01
4,-0.007672120152616835,1993-06-01
5,0.0273909592813765,1993-06-01
6,-0.0008882921141018139,1993-06-01
7,-0.0009218729168708098,1993-06-01
8,0.00740739359639207,1993-06-01
9,0.015685487008591986,1993-06-01
10,0.023535869062780688,1993-06-01
1,-0.01548727493941142,1993-07-01
2,0.004033615509033092,1993-07-01
3,-0.003527314607203946,1993-07-01
4,0.008106964098550157,1993-07-01
5,-0.007007444192889092,1993-07-01
6,0.008213254690768898,1993-07-01
7,0.016785709005721884,1993-07-01
8,0.019125305378482522,1993-07-01
9,0.02823169198938903,1993-07-01
10,0.03555408276412603,1993-07-01
1,-0.01667237758487619,1993-08-01
2,0.017738761709581153,1993-08-01
3,0.022363372886963547,1993-08-01
4,0.0012243471078047837,1993-08-01
5,0.004605477684982125,1993-08-01
6,0.005771790340464126,1993-08-01
7,0.004265877050002503,1993-08-01
8,0.0036692374058179275,1993-08-01
9,0.024041370636886692,1993-08-01
10,0.06228773391743085,1993-08-01
1,0.03524066334758358,1993-09-01
2,0.0030443046140884397,1993-09-01
3,0.015613475780674332,1993-09-01
4,0.0014191506386428765,1993-09-01
5,0.004613322591244697,1993-09-01
6,-0.0053106312584098704,1993-09-01
7,0.009021454773481997,1993-09-01
8,0.0018498702683602164,1993-09-01
9,0.21203914472318006,1993-09-01
10,0.002827538278882377,1993-09-01
1,0.008058730663795172,1993-10-01
2,0.011748927282909882,1993-10-01
3,0.02538682916851221,1993-10-01
4,-0.005502034266164936,1993-10-01
5,0.0085016485884755,1993-10-01
6,0.0024538207338579317,1993-10-01
7,-0.0009416832965658372,1993-10-01
8,-0.0026693498356049157,1993-10-01
9,0.002563415374391553,1993-10-01
10,-0.016869871788723272,1993-10-01
1,-0.020319469764357126,1993-11-01
2,-0.008318144994511448,1993-11-01
3,0.01853702137856435,1993-11-01
4,0.026146528176115874,1993-11-01
5,0.006705239596845676,1993-11-01
6,-0.011932493707063738,1993-11-01
7,0.019366573317427412,1993-11-01
8,0.009673296797799751,1993-11-01
9,0.02453191388647566,1993-11-01
10,0.05516067438979657,1993-11-01
1,-0.003386026736834042,1993-12-01
2,-0.008811182929966667,1993-12-01
3,0.017952776705111962,1993-12-01
4,0.020129490503930716,1993-12-01
5,0.02343951643168047,1993-12-01
6,0.028419074733217472,1993-12-01
7,0.010640828897884182,1993-12-01
8,0.004383780036324951,1993-12-01
9,0.004215353224352705,1993-12-01
10,0.03030713743275772,1993-12-01
1,0.017764377878796422,1994-01-01
2,0.006228820698795535,1994-01-01
3,0.0058465292096823015,1994-01-01
4,0.0021775164658445856,1994-01-01
5,0.0077897834823107,1994-01-01
6,-0.0030466726101240115,1994-01-01
7,0.018793445807387493,1994-01-01
8,0.005847491103031377,1994-01-01
9,0.017720146261989398,1994-01-01
10,0.023525172241059863,1994-01-01
1,0.005045510593065128,1994-02-01
2,0.006128725423892916,1994-02-01
3,-0.004013533643631777,1994-02-01
4,0.002878460008788374,1994-02-01
5,-0.0042854798931040786,1994-02-01
6,-0.005551540413664732,1994-02-01
7,0.003967534028741023,1994-02-01
8,-0.007766805332151207,1994-02-01
9,0.01565884858729874,1994-02-01
10,0.03540669576866222,1994-02-01
1,0.016126544113411214,1994-03-01
2,0.007674654497021048,1994-03-01
3,-8.322331475171255e-05,1994-03-01
4,0.00901019749773636,1994-03-01
5,0.004702018338153135,1994-03-01
6,-0.003297355592472048,1994-03-01
7,0.011759671272640533,1994-03-01
8,-0.016392168857308244,1994-03-01
9,-0.003165858574055352,1994-03-01
10,0.046850882870177496,1994-03-01
1,-0.009170863046208693,1994-04-01
2,0.002430165132260847,1994-04-01
3,0.012681794339337386,1994-04-01
4,0.0037401000263745324,1994-04-01
5,0.0028913150837464536,1994-04-01
6,-0.012024058433905452,1994-04-01
7,0.0012743138458642686,1994-04-01
8,-4.135208798917351e-05,1994-04-01
9,0.013670081405104464,1994-04-01
10,0.001822669906545529,1994-04-01
1,-0.02446519339349823,1994-05-01
2,-0.008194934090257965,1994-05-01
3,-0.01169327103100942,1994-05-01
4,0.0022119810720818553,1994-05-01
5,-0.0011586339195903846,1994-05-01
6,-0.010976474228330608,1994-05-01
7,-0.0001353870355424385,1994-05-01
8,0.01897994631990099,1994-05-01
9,-0.0047036689052818315,1994-05-01
10,0.0048039465727961585,1994-05-01
1,-0.016599844743222666,1994-06-01
2,0.0010353954782740297,1994-06-01
3,0.013672237301835736,1994-06-01
4,-0.010208652476243217,1994-06-01
5,-0.0006047432609153675,1994-06-01
6,-0.0026909633506213837,1994-06-01
7,-0.0005428682163320153,1994-06-01
8,0.022891047947967338,1994-06-01
9,0.009413380929691453,1994-06-01
10,0.022158394288067103,1994-06-01
1,0.04060655799984785,1994-07-01
2,0.019074710077878202,1994-07-01
3,0.014172184417393556,1994-07-01
4,0.003307706627574951,1994-07-01
5,0.0024855712352746875,1994-07-01
6,0.009412369581548286,1994-07-01
7,0.014792168707721813,1994-07-01
8,0.01998540576662386,1994-07-01
9,-0.01864110396204033,1994-07-01
10,0.019075594801899645,1994-07-01
1,-0.0048895106326428,1994-08-01
