symbol,date,pe,peg,sales_multiple,eps,eps_growth_pct,net_income,sales,sales_growth_pct
AAPL,1980-12-31,10.8,1.0,1.08,0.6,,600.0,500.0,
AAPL,1981-01-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1981-02-28,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1981-03-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1981-04-30,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1981-05-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1981-06-30,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1981-07-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1981-08-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1981-09-30,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1981-10-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1981-11-30,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1981-12-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1982-01-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1982-02-28,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1982-03-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1982-04-30,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1982-05-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1982-06-30,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1982-07-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1982-08-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1982-09-30,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1982-10-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1982-11-30,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1982-12-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1983-01-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1983-02-28,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1983-03-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1983-04-30,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1983-05-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1983-06-30,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1983-07-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1983-08-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1983-09-30,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1983-10-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1983-11-30,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1983-12-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1984-01-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1984-02-29,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1984-03-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1984-04-30,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1984-05-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1984-06-30,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1984-07-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1984-08-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1984-09-30,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1984-10-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1984-11-30,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1984-12-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1985-01-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1985-02-28,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1985-03-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1985-04-30,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1985-05-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1985-06-30,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1985-07-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1985-08-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1985-09-30,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1985-10-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1985-11-30,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
AAPL,1985-12-31,10.8,1.0,1.08,0.6,0.0,600.0,500.0,0.0
