model,fold,auc,logloss,brier,lift_top_decile,long_only_mean_m,long_short_mean_m,long_only_sharpe_ann,long_short_sharpe_ann
tier0_dummy,1,0.5,0.6576175651413737,0.2322530864197531,1.2,,,,
tier0_dummy,2,0.5,0.6075628000107195,0.20748299319727892,1.2,,,,
tier0_dummy,3,0.5,0.7153336063314337,0.2608506944444445,2.0,,,,
tier0_dummy,4,0.5,0.5856970520047831,0.19684499314128948,1.2,,,,
tier0_dummy,5,0.5,0.562663932363722,0.18583333333333332,1.2,,,,
tier0_dummy,6,0.5,0.7317930177107685,0.26859504132231404,2.0,,,,
tier1_logistic_l2,1,1.0,0.7045964973562148,0.2617242179778255,1.2,,,,
tier1_logistic_l2,2,1.0,0.18867784998551573,0.0344781319872394,1.2,,,,
tier1_logistic_l2,3,1.0,0.5108048335535158,0.19042678772672006,2.0,,,,
tier1_logistic_l2,4,1.0,0.38365949785550785,0.14072312400065146,1.2,,,,
tier1_logistic_l2,5,1.0,0.09016945185796686,0.01513466646064035,1.2,,,,
tier1_logistic_l2,6,1.0,0.495170910326801,0.18639993351310338,2.0,,,,
tier1_elastic_net,1,0.5,11.512925631636977,0.8333316666676667,1.2,,,,
tier1_elastic_net,2,0.5,2.3025859263230033,0.1666663333343333,1.2,,,,
tier1_elastic_net,3,0.5,6.907755778968009,0.49999900000099995,2.0,,,,
tier1_elastic_net,4,0.5,2.3025859263230033,0.1666663333343333,1.2,,,,
tier1_elastic_net,5,0.5,2.3025859263230033,0.1666663333343333,1.2,,,,
tier1_elastic_net,6,0.5,6.907755778968009,0.49999900000099995,2.0,,,,
tier2_random_forest,1,1.0,0.5524928274697692,0.18029172817882944,1.2,,,,
tier2_random_forest,2,1.0,0.4367735970169199,0.1281341312114491,1.2,,,,
tier2_random_forest,3,1.0,0.5824290290532567,0.20135219275755048,2.0,,,,
tier2_random_forest,4,1.0,0.41880384908936175,0.1193363853772575,1.2,,,,
tier2_random_forest,5,1.0,0.3590874818810905,0.09444092254921359,1.2,,,,
tier2_random_forest,6,1.0,0.5498242478298742,0.18968042211655559,2.0,,,,
tier2_gbdt,1,1.0,1.000000500029089e-06,1.0000000000527186e-12,1.2,,,,
tier2_gbdt,2,1.0,1.000000500029089e-06,1.0000000000527186e-12,1.2,,,,
tier2_gbdt,3,1.0,1.000000500029089e-06,1.0000000000431335e-12,2.0,,,,
tier2_gbdt,4,1.0,1.000000500029089e-06,1.0000000000527188e-12,1.2,,,,
tier2_gbdt,5,1.0,1.000000500029089e-06,1.0000000000527186e-12,1.2,,,,
tier2_gbdt,6,1.0,1.000000500029089e-06,1.0000000000431335e-12,2.0,,,,
